Year,Code,Waste,WstOper,Value
1997,43,4,3,29000
1997,43,5,1,-1
1997,43,5,2,-1
1997,43,5,3,-1
1997,43,6,1,-1
1997,43,6,2,-1
1997,43,6,3,-1
1997,43,7,1,260000
1997,43,7,2,199000
1997,43,7,3,199000
1997,43,8,1,28000
1997,43,8,2,20000
1997,43,8,3,15000
1997,48,0,1,-1
1997,48,0,2,-1
1997,48,0,3,-1
1997,48,1,1,-1
1997,48,1,2,-1
1997,48,1,3,-1
1997,48,2,1,-1
1997,48,2,2,-1
1997,48,2,3,-1
1997,48,3,1,-1
1997,48,3,2,-1
1997,48,3,3,-1
1997,48,4,1,-1
1997,48,4,2,-1
1997,48,4,3,-1
1997,48,5,1,-1
1997,48,5,2,-1
1997,48,5,3,-1
1997,48,6,1,-1
1997,48,6,2,-1
1997,48,6,3,-1
1997,48,7,1,-1
1997,48,7,2,-1
1997,48,7,3,-1
1997,48,8,1,-1
1997,48,8,2,-1
1997,48,8,3,-1
1997,351,0,1,-1
1997,351,0,2,-1
1997,351,0,3,-1
1997,351,1,1,-1
1997,351,1,2,-1
1997,351,1,3,-1
1997,351,2,1,-1
1997,351,2,2,-1
1997,351,2,3,-1
1997,351,3,1,-1
1997,351,3,2,-1
1997,351,3,3,-1
1997,351,4,1,-1
1997,351,4,2,-1
1997,351,4,3,-1
1997,351,5,1,-1
1997,351,5,2,-1
1997,351,5,3,-1
1997,351,6,1,-1
1997,351,6,2,-1
1997,351,6,3,-1
1997,351,7,1,-1
1997,351,7,2,-1
1997,351,7,3,-1
1997,351,8,1,-1
1997,351,8,2,-1
1997,351,8,3,-1
1997,40,0,1,-1
1997,40,0,2,-1
1997,40,0,3,-1
1997,40,1,1,-1
1997,40,1,2,-1
1997,40,1,3,-1
1997,40,2,1,-1
1997,40,2,2,-1
1997,40,2,3,-1
1997,40,3,1,-1
1997,40,3,2,-1
1997,40,3,3,-1
1997,40,4,1,-1
1997,40,4,2,-1
1997,40,4,3,-1
1997,40,5,1,-1
1997,40,5,2,-1
1997,40,5,3,-1
1997,40,6,1,-1
1997,40,6,2,-1
1997,40,6,3,-1
1997,40,7,1,-1
1997,40,7,2,-1
1997,40,7,3,-1
1997,40,8,1,-1
1997,40,8,2,-1
1997,40,8,3,-1
1997,386,0,1,-1
1997,386,0,2,-1
1997,386,0,3,-1
1997,386,1,1,-1
1997,386,1,2,-1
1997,386,1,3,-1
1997,386,2,1,-1
1997,386,2,2,-1
1997,386,2,3,-1
1997,386,3,1,-1
1997,386,3,2,-1
1997,386,3,3,-1
1997,386,4,1,-1
1997,386,4,2,-1
1997,386,4,3,-1
1997,386,5,1,-1
1997,386,5,2,-1
1997,386,5,3,-1
1997,386,6,1,-1
1997,386,6,2,-1
1997,386,6,3,-1
1997,386,7,1,-1
1997,386,7,2,-1
1997,386,7,3,-1
1997,386,8,1,-1
1997,386,8,2,-1
1997,386,8,3,-1
1997,421,0,1,-1
1997,421,0,2,-1
1997,421,0,3,-1
1997,421,1,1,-1
1997,421,1,2,-1
1997,421,1,3,-1
1997,421,2,1,-1
1997,421,2,2,-1
1997,421,2,3,-1
1997,421,3,1,-1
1997,421,3,2,-1
1997,421,3,3,-1
1997,421,4,1,-1
1997,421,4,2,-1
1997,421,4,3,-1
1997,421,5,1,-1
1997,421,5,2,-1
1997,421,5,3,-1
1997,421,6,1,-1
1997,421,6,2,-1
1997,421,6,3,-1
1997,421,7,1,-1
1997,421,7,2,-1
1997,421,7,3,-1
1997,421,8,1,-1
1997,421,8,2,-1
1997,421,8,3,-1
1997,358,0,1,418300
1997,358,0,2,225300
1997,358,0,3,174300
1997,358,1,1,243500
1997,358,1,2,177600
1997,358,1,3,137600
1997,358,2,1,92400
1997,358,2,2,20200
1997,358,2,3,9200
1997,358,3,1,-1
1997,358,3,2,-1
1997,358,3,3,-1
1997,358,4,1,32500
1997,358,4,2,2600
1997,358,4,3,2600
1997,358,5,1,-1
1997,358,5,2,-1
1997,358,5,3,-1
1997,358,6,1,-1
1997,358,6,2,-1
1997,358,6,3,-1
1997,358,7,1,49900
1997,358,7,2,24900
1997,358,7,3,24900
1997,358,8,1,0
1997,358,8,2,0
1997,358,8,3,0
1997,46,0,1,923400
1997,46,0,2,601100
1997,46,0,3,535000
1997,46,1,1,526000
1997,46,1,2,392000
1997,46,1,3,348000
1997,46,2,1,150000
1997,46,2,2,43100
1997,46,2,3,21000
1997,46,3,1,-1
1997,46,3,2,-1
1997,46,3,3,-1
1997,46,4,1,70000
1997,46,4,2,31800
1997,46,4,3,31800
1997,46,5,1,-1
1997,46,5,2,-1
1997,46,5,3,-1
1997,46,6,1,-1
1997,46,6,2,-1
1997,46,6,3,-1
1997,46,7,1,177400
1997,46,7,2,134200
1997,46,7,3,134200
1997,46,8,1,0
1997,46,8,2,0
1997,46,8,3,0
1997,44,0,1,10003325
1997,44,0,2,2654870
1997,44,0,3,2413570
1997,44,1,1,3915012
1997,44,1,2,1852000
1997,44,1,3,1612000
1997,44,2,1,1749265
1997,44,2,2,103000
1997,44,2,3,103000
1997,44,3,1,966824
1997,44,3,2,0
1997,44,3,3,0
1997,44,4,1,1043730
1997,44,4,2,250870
1997,44,4,3,249570
1997,44,5,1,144813
1997,44,5,2,28300
1997,44,5,3,27000
1997,44,6,1,898917
1997,44,6,2,222570
1997,44,6,3,222570
1997,44,7,1,2305572
1997,44,7,2,449000
1997,44,7,3,449000
1997,44,8,1,22922
1997,44,8,2,0
1997,44,8,3,0
